overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style.Size:,style.Color:,vote,image,style.Metal Type:,,,
5,TRUE,"01 31, 2017",A3C9437G8U7KP5,B00062NHH0,Amazon Customer,As expected,Five Stars,1485820800,Small,White/Black/Heather Grey,,,,,,
5,TRUE,"01 24, 2017",AN7AGPTB39ODE,B00062NHH0,Deidre,Soft and perfect,Five Stars,1485216000,Medium,Black,,,,,,
5,TRUE,"01 19, 2017",A2PE67CSRSEJT1,B00062NHH0,James Weisberg,My girl digs them.,Nice,1484784000,Medium,White/Black/Heather Grey,,,,,,
5,TRUE,"12 11, 2016",A3H068BOPP8CAV,B00062NHH0,ANDRE,Would like more colors to choose from,Five Stars,1481414400,X-Large,White,,,,,,
5,TRUE,"11 30, 2016",A35JED9KWSBPFO,B00062NHH0,JUAN MACIAS,Excellent,Five Stars,1480464000,Large,White/Black/Heather Grey,,,,,,
5,TRUE,"11 30, 2016",A1THDLQWOT1SZW,B00062NHH0,Mary Beth Monaco,My son-in-laws favorite.,Five Stars,1480464000,Large,White,,,,,,
5,TRUE,"10 30, 2016",A3A74BC0O6HVSE,B00062NHH0,BLAI SALETA,"Very warm and comfortable. The shirts are especially long, which to me is a good thing as they never get untucked.",Very warm and comfortable. The shirts are especially long,1477785600,Large,Black,,,,,,
5,TRUE,"10 25, 2016",A10XIMLNIR1AI9,B00062NHH0,Francisco Conde,What do you expect from Calvin!!! Don't think about worth it.,"Great V necks, only place I buy them",1477353600,Large,Black,,,,,,
5,TRUE,"10 15, 2016",A26ZXCCC5CHUEM,B00062NHH0,William B. Feemster,"I loved them, when I get the money I'd like to get some more, only this time I want to get them a wider variety od colors","I loved them, when I get the money I'd like ...",1476489600,X-Large,Blue Depths,,,,,,
5,TRUE,"09 28, 2016",A3GCRCV4CE3ZSD,B00062NHH0,Amazon Customer,Good,Five Stars,1475020800,Small,White/Black/Heather Grey,,,,,,
5,TRUE,"09 26, 2016",A2JWPSJ4BVJBN8,B00062NHH0,Don La Palma,Comfortable and fit nicely. I've bought these repeatedly.,Five Stars,1474848000,Large,White/Black/Heather Grey,,,,,,
5,TRUE,"09 18, 2016",A2KCD6S73B72MW,B00062NHH0,Amazon Customer,Would buy fro again.,Five Stars,1474156800,Large,White,,,,,,
4,TRUE,"09 06, 2016",A2Y8277BMEYYHY,B00062NHH0,zou liang,Comfortable,Four Stars,1473120000,Medium,White/Black/Heather Grey,,,,,,
4,TRUE,"08 10, 2016",A33JWQKOJGHBFF,B00062NHH0,ryan schuler,Good quality shirts the sizing wasn't right. That happens a lot with different manufacturers. Over all great I just sent them back. Reccoment ordering one size smaller than you'd normally wear if you are fit and like shirts that look good on you and not baggy.,Good quality shirts the sizing wasn't right,1470787200,Large,White/Black/Heather Grey,,,,,,
3,TRUE,"07 28, 2016",A3NT0TMI5LE9BU,B00062NHH0,blom,"Not as generously cut as the last time I bought them.  And one or two are not made well and the bottom cuff is twisted, doesn't lie flat.  Annoying!",Not as good as last time.,1469664000,Large,White,,,,,,
5,TRUE,"07 27, 2016",A12QCGQ0ZYJQAB,B00062NHH0,Amazon Customer,It looks really good on my husband!,Five Stars,1469577600,Large,Black,,,,,,
4,TRUE,"07 12, 2016",A2R5W3U7Y8DOSP,B00062NHH0,Rodrigo Barral,good! no problems....,Four Stars,1468281600,Medium,Black,,,,,,
5,TRUE,"06 17, 2016",A3MQKG2DUMQZH0,B00062NHH0,Hanne Gluth,Very soft and great fit,Five Stars,1466121600,Large,Black,,,,,,
5,TRUE,"06 12, 2016",AURDLQ83IENFY,B00062NHH0,yu liang,very good,Five Stars,1465689600,Small,White/Black/Heather Grey,,,,,,
5,TRUE,"06 11, 2016",A1QX4IILUTST5E,B00062NHH0,CG,Fits great....only t-shirts I wear,Five Stars,1465603200,X-Large,Black,,,,,,
1,TRUE,"06 09, 2016",A3CJSWPC9W6D4N,B00062NHH0,pjrey,"these have been going downhill for a bit now.. thinner and thinner, the V width has shrunk alot too, not it is a very thin V, used to be thicker not a biggie at all, but what was, is now, with this batch anyhow (and i had ordered these just 3 months ago) now has CALVIN KLEIN printed in black on the outside of the shirt. returned",these have been going downhill for a bit now. ...,1465430400,,,,,,,,
5,TRUE,"06 03, 2016",AB67O65BUU2RU,B00062NHH0,Mundomadelin,"Texture is great, but its length. is somewhat shorter than previous in store purchases. I still give it 5 stars because it is a great product.","Texture is great, but its length",1464912000,Medium,White,,,,,,
5,TRUE,"04 30, 2016",A2W2VMK8ISDBHH,B00062NHH0,Amazon Customer,best t shirts ever,Five Stars,1461974400,Medium,Black,,,,,,
5,TRUE,"04 20, 2016",AAOPSS50B65U0,B00062NHH0,Pen Name,Good undershirts,Calvin Klein  T shirts,1461110400,Large,White,,,,,,
5,TRUE,"04 18, 2016",AFJZ0YVB4XMCE,B00062NHH0,JB - A Guy,"Calvin Klein t-shirts naan potadhula best comfortable. Aana underwear vaangaradhula fun illa. Earlier Costco la vaangiruppen, but ippo Costco CK stop panni Kirkland tha sell panradhu. So Amazon la again t-shirt stock up panna mudinjadhula romba happy.",Calvin Klein t-shirts are the most comfortable I've ever worn and shopping for underwear is no ...,1460937600,X-Large,White,,,,,,
1,TRUE,"04 16, 2016",A340ZV344SL7I7,B00062NHH0,James P.,"Not a real Calvin Klein t shirt.  I bought Calvin Klein t shirts at Nordstrom, great quality.  I figured I would by via Amazon to save time and money.  Made differently, after washing the material shows its poor quality.  Your basically paying high prices for Haynes level t shirts. AVOID. Just went back to Nordstrom to pick up a few more.",Not Calvin Klein,1460764800,Medium,White,7,,,,,
1,TRUE,"03 25, 2016",ALQZLBXF169SA,B00062NHH0,Stewart Ream,"I think I got a knockoff.  I have three CK v's already that I got at Costco that fit better and are way softer.  On the shirts from here, it says Calvin Klein on the bottom left, on the front of the shirt.  That is not displayed in the picture and I feel like a dick if I don't wear anything over it.  All in all, I feel ripped off.",I have three CK v's already that I got at Costco that fit better and are way softer,1458864000,Medium,White,4,,,,,
5,TRUE,"03 07, 2016",A17T1SQQQ2ZBHJ,B00062NHH0,Dominic,Love these undershirts.,Best v neck out there.,1457308800,X-Large,Black,,,,,,
5,TRUE,"03 03, 2016",A247JPEOSPO9PQ,B00062NHH0,herc08,"Great fabric, well sewn, will but again",Five Stars,1456963200,Large,White/Black/Heather Grey,,,,,,
5,TRUE,"03 01, 2016",A3AKIOL17AW7Y4,B00062NHH0,Alina Stinga,This is The one.,Five Stars,1456790400,Large,White,,,,,,
5,TRUE,"02 20, 2016",A3GE1Z7OECVC2A,B00062NHH0,David,Very comfortable shirts,Five Stars,1455926400,Medium,Black,,,,,,
4,TRUE,"02 14, 2016",A2MEPB8RC7NNMP,B00062NHH0,Anonymous,These shirts fit perfectly and feel great.,Four Stars,1455408000,Small,White,,,,,,
5,TRUE,"02 14, 2016",A321L0HZ3A2L2C,B00062NHH0,spiritwarmth,"Very soft, comfortable shirts.",comfortable shirts.,1455408000,Large,Black,,,,,,
5,TRUE,"02 11, 2016",A26U4Q63JWGSS6,B00062NHH0,Markus Fair,Good V-Neck shirts,Five Stars,1455148800,Large,White/Black/Heather Grey,,,,,,
3,TRUE,"02 08, 2016",A3HV3HGGCXEBQA,B00062NHH0,Jason Castillo,Ive ordered this 3 times and each time got a slightly different product. Sometimes thinner material sometimes thicher recently shirts came with white ck logo on bottom which was nice tough but I expect consistency,Inconsistent ship different versions of shirts ech time,1454889600,Large,Black,5,,,,,
4,TRUE,"02 03, 2016",A12TBESE3FIJHJ,B00062NHH0,Michael Cuda,Fits as expected. Not like the big shoes or small sweatpants that I had ordered,Not like the big shoes or small sweatpants that I had ...,1454457600,X-Large,Black,,,,,,
5,TRUE,"01 31, 2016",A242J3ROIH65SO,B00062NHH0,Kareem707,Good quality daily tees.,Five Stars,1454198400,Small,White/Black/Heather Grey,,,,,,
5,TRUE,"01 30, 2016",A27703F32I4JSH,B00062NHH0,Jayhawk_34,I only buy these undershirts - they shrink much less than your basic Hanes or Fruit of the Loom. Well worth the extra money to have a shirt that lasts.,Spend a little extra now - worth it.,1454112000,Large,White,,,,,,
4,TRUE,"01 20, 2016",A25AIJATC033CD,B00062NHH0,Lance Zeringue,"a little bigger than i had hoped but overall fit pretty good, look great, v neck is a little deep","... little bigger than i had hoped but overall fit pretty good, look great",1453248000,Large,White/Black/Heather Grey,,,,,,
5,TRUE,"01 18, 2016",A2R1FIHQ06OPXT,B00062NHH0,Brad,I bought these due to having one already that I really liked. I ordered the 3 pack and usually wear them to bed.  My wife thinks I look good in them so I gladly will accommodate.  These are tagless and much thicker and than some Haynes brand ones that I have since tossed.,My favorite V neck brand,1453075200,Medium,White,,,,,,
5,TRUE,"01 15, 2016",A17BFBXXPYVL91,B00062NHH0,Cris Goodman,Perfect!,Five Stars,1452816000,X-Large,Black,,,,,,
5,TRUE,"01 15, 2016",A2B9G3FN56R86G,B00062NHH0,Nolan Moskowitz,These shirts work well for daily wear or as undershirts. After many washes they still hold up well.,Best v-neck I have owned.,1452816000,X-Large,Black,,,,,,
5,TRUE,"01 05, 2016",A2WWTZAKI6RZF9,B00062NHH0,Babylonburners,They are a bit pricey but hold shape better than cheaper shirts of the same type...deeper v and collar that holds shape better. Great for work undershirts and last longer than most cheaper undershirt brands,Worth the price if you value longevity and resistance to get stretched out,1451952000,Medium,Black,,,,,,
1,TRUE,"01 01, 2016",A1U7I6LHPCMPV2,B00062NHH0,J. Tyler,One wash and they cheaper than hains her wear,One Star,1451606400,Medium,White/Black/Heather Grey,,,,,,
